runId,startedAtUtc,startedAtParis,finishedAtUtc,status,error,network,cycleType,model,strategyVersion,configPreset,marketSnapshotId,llmQueryId
db3a3b34-b4ef-4f29-9b23-9ecf708e8643,2026-05-26T10:06:30.222Z,2026-05-26 12:06:30,2026-05-26T10:06:30.477Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1886,
7c6f958c-1702-4795-a54c-f6d0161a102f,2026-05-26T10:08:59.759Z,2026-05-26 12:08:59,2026-05-26T10:09:00.048Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1887,
a9ef7e40-cf3c-448c-a197-339d57aab0bf,2026-05-26T10:11:29.813Z,2026-05-26 12:11:29,2026-05-26T10:11:30.083Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1888,
ee595d2a-bdee-4b20-866f-ade8216d5a15,2026-05-26T10:14:00.346Z,2026-05-26 12:14:00,2026-05-26T10:14:00.607Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1889,
aa016ac2-0152-4480-89da-5361cd4462f3,2026-05-26T10:16:30.189Z,2026-05-26 12:16:30,2026-05-26T10:16:30.445Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1890,
6cd8d9de-acb0-4b17-8d06-4d245040a41a,2026-05-26T10:19:00.943Z,2026-05-26 12:19:00,2026-05-26T10:19:01.199Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1891,
23185cec-02f2-4943-a2cf-2df962b1cf83,2026-05-26T10:21:31.507Z,2026-05-26 12:21:31,2026-05-26T10:21:31.762Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1892,
d15be203-c858-4249-ba3b-dab60496e73a,2026-05-26T10:24:00.006Z,2026-05-26 12:24:00,2026-05-26T10:24:00.464Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1893,
5f44d48b-8de3-4c71-90f4-e59baeb42ff4,2026-05-26T10:26:30.443Z,2026-05-26 12:26:30,2026-05-26T10:26:30.714Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1894,
efb144af-2830-4383-85b3-4aa7cc46ddc7,2026-05-26T10:28:59.681Z,2026-05-26 12:28:59,2026-05-26T10:28:59.950Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1895,
ccf08aa4-dbfa-4d5a-b160-d498f529a5e4,2026-05-26T10:31:30.326Z,2026-05-26 12:31:30,2026-05-26T10:32:28.274Z,COMPLETED,,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1896,1051
ac976e57-7151-4e63-b7b6-654782636eba,2026-05-26T10:34:59.743Z,2026-05-26 12:34:59,2026-05-26T10:35:40.405Z,COMPLETED,,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1897,1052
848b675b-bc66-4827-9778-0e61d061a79c,2026-05-26T10:38:29.844Z,2026-05-26 12:38:29,2026-05-26T10:38:30.104Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1898,
0f88ba4a-95cc-4d72-9786-89706ba9119f,2026-05-26T10:41:00.259Z,2026-05-26 12:41:00,2026-05-26T10:41:00.517Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1899,
6b260dd5-fd19-42e3-ab45-a432154a82fd,2026-05-26T10:43:31.303Z,2026-05-26 12:43:31,2026-05-26T10:43:31.562Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1900,
76dcf7cb-3d30-4716-88c7-e0b504362da9,2026-05-26T10:46:01.878Z,2026-05-26 12:46:01,2026-05-26T10:46:02.136Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1901,
bd73e1be-1fde-431b-86ca-0dd9c9916b66,2026-05-26T10:48:29.822Z,2026-05-26 12:48:29,2026-05-26T10:48:30.083Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1902,
7e075b83-6966-46a2-bded-9a8bd8e275a0,2026-05-26T10:51:00.494Z,2026-05-26 12:51:00,2026-05-26T10:51:00.757Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1903,
